game_id,team_id,team_name,team_abbreviation,team_location,team_nickname,team_color,home_away,score,winner
401488905,52,Florida State Seminoles,FSU,Florida State,Seminoles,782f40,home,74,True
401488905,221,Pittsburgh Panthers,PITT,Pittsburgh,Panthers,003263,away,37,False
