game_id,play_id,sequence_number,period,period_display,clock,clock_seconds,team_id,team_name,play_type,play_type_id,text,score_home,score_away,scoring_play,score_value,shooting_play,coordinate_x,coordinate_y,wallclock,player_1_id,player_1_name,player_1_role,player_2_id,player_2_name,player_2_role
401480237,401480237101904501,101904501,1,1st Quarter,9:54,594,52,,LayUpShot,572,Ta'niya Latson missed Layup.,0,0,False,2,True,,,2022-11-07T16:02:13Z,4609797,,,,,
401480237,401480237101904502,101904502,1,1st Quarter,9:54,594,2065,,Block Shot,618,Morgan Beacham Block.,0,0,False,0,False,,,2022-11-07T16:02:13Z,4595489,,,,,
401480237,401480237101904503,101904503,1,1st Quarter,9:54,594,2065,,Defensive Rebound,587,Bethune-Cookman Defensive Rebound.,0,0,False,0,False,,,2022-11-07T16:02:13Z,,,,,,
401480237,401480237101905201,101905201,1,1st Quarter,9:47,587,2065,,Lost Ball Turnover,598,Morgan Beacham Turnover.,0,0,False,0,False,,,2022-11-07T16:02:23Z,4595489,,,,,
401480237,401480237101905202,101905202,1,1st Quarter,9:47,587,52,,Steal,607,Erin Howard Steal.,0,0,False,0,False,,,2022-11-07T16:02:23Z,4398609,,,,,
401480237,401480237101905701,101905701,1,1st Quarter,9:42,582,52,,LayUpShot,572,Erin Howard missed Layup.,0,0,False,2,True,,,2022-11-07T16:02:29Z,4398609,,,,,
401480237,401480237101906001,101906001,1,1st Quarter,9:39,579,52,,Offensive Rebound,586,Ta'niya Latson Offensive Rebound.,0,0,False,0,False,,,2022-11-07T16:02:32Z,4609797,,,,,
401480237,401480237101906301,101906301,1,1st Quarter,9:36,576,52,,LayUpShot,572,Ta'niya Latson missed Layup.,0,0,False,2,True,,,2022-11-07T16:02:35Z,4609797,,,,,
401480237,401480237101906801,101906801,1,1st Quarter,9:31,571,52,,Offensive Rebound,586,Florida State Offensive Rebound.,0,0,False,0,False,,,2022-11-07T16:02:39Z,,,,,,
401480237,401480237101907401,101907401,1,1st Quarter,9:25,565,52,,LayUpShot,572,Ta'niya Latson missed Layup.,0,0,False,2,True,,,2022-11-07T16:02:59Z,4609797,,,,,
401480237,401480237101907501,101907501,1,1st Quarter,9:24,564,2065,,Dead Ball Rebound,449,Bethune-Cookman Deadball Team Rebound.,0,0,False,0,False,,,2022-11-07T16:02:59Z,,,,,,
401480237,401480237101907502,101907502,1,1st Quarter,9:24,564,52,,PersonalFoul,519,Foul on Makayla Timpson.,0,0,False,0,False,,,2022-11-07T16:02:59Z,4433546,,,,,
