game_id,team_id,team_name,team_abbreviation,player_id,player_name,position,jersey,starter,did_not_play,MIN,FG,FG_MADE,FG_ATT,FG_PCT,3PT,3PT_MADE,3PT_ATT,3PT_PCT,FT,FT_MADE,FT_ATT,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401480238,52,Florida State Seminoles,FSU,4433546,Makayla Timpson,Forward,21,True,False,14.0,2-3,2.0,3.0,66.7,0-0,0.0,0.0,0.0,1-2,1.0,2.0,50.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,3.0,5.0
401480238,52,Florida State Seminoles,FSU,4398609,Erin Howard,Forward,23,True,False,19.0,2-7,2.0,7.0,28.6,0-4,0.0,4.0,0.0,0-0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,4.0
401480238,52,Florida State Seminoles,FSU,4609797,Ta'Niya Latson,Guard,0,True,False,32.0,13-24,13.0,24.0,54.2,4-6,4.0,6.0,66.7,4-5,4.0,5.0,80.0,0.0,5.0,5.0,0.0,3.0,1.0,2.0,5.0,34.0
401480238,52,Florida State Seminoles,FSU,4595844,Sara Bejedi,Guard,4,True,False,24.0,2-13,2.0,13.0,15.4,2-10,2.0,10.0,20.0,6-8,6.0,8.0,75.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,12.0
401480238,52,Florida State Seminoles,FSU,4400176,Taylor O'Brien,Guard,11,True,False,35.0,4-11,4.0,11.0,36.4,1-4,1.0,4.0,25.0,2-2,2.0,2.0,100.0,2.0,5.0,7.0,4.0,1.0,2.0,3.0,3.0,11.0
401480238,52,Florida State Seminoles,FSU,4683035,Mariana Valenzuela,Forward,5,False,False,28.0,3-5,3.0,5.0,60.0,1-2,1.0,2.0,50.0,1-2,1.0,2.0,50.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,0.0,8.0
401480238,52,Florida State Seminoles,FSU,4398583,Valencia Myers,Forward,32,False,False,14.0,1-1,1.0,1.0,100.0,0-0,0.0,0.0,0.0,2-4,2.0,4.0,50.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0
401480238,52,Florida State Seminoles,FSU,5106230,Brianna Turnage,Guard,2,False,False,34.0,0-3,0.0,3.0,0.0,0-2,0.0,2.0,0.0,2-2,2.0,2.0,100.0,1.0,5.0,6.0,4.0,1.0,3.0,1.0,0.0,2.0
401480238,52,Florida State Seminoles,FSU,4433520,O'Mariah Gordon,Guard,3,False,True,,,,,,,,,,,,,,,,,,,,,,
401480238,52,Florida State Seminoles,FSU,4398765,Jazmine Massengill,Guard,1,False,True,,,,,,,,,,,,,,,,,,,,,,
401480238,2309,Kent State Golden Flashes,KENT,4399327,Lindsey Thall,Forward,44,True,False,34.0,7-13,7.0,13.0,53.8,3-5,3.0,5.0,60.0,2-2,2.0,2.0,100.0,1.0,4.0,5.0,0.0,0.0,2.0,2.0,5.0,19.0
401480238,2309,Kent State Golden Flashes,KENT,4704895,Casey Santoro,Guard,0,True,False,29.0,4-9,4.0,9.0,44.4,1-4,1.0,4.0,25.0,2-3,2.0,3.0,66.7,1.0,3.0,4.0,0.0,0.0,0.0,6.0,2.0,11.0
401480238,2309,Kent State Golden Flashes,KENT,4595261,Clare Kelly,Guard,20,True,False,26.0,2-8,2.0,8.0,25.0,1-6,1.0,6.0,16.7,0-0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,5.0
401480238,2309,Kent State Golden Flashes,KENT,4433684,Katie Shumate,Guard,14,True,False,30.0,8-15,8.0,15.0,53.3,0-3,0.0,3.0,0.0,2-2,2.0,2.0,100.0,3.0,4.0,7.0,1.0,0.0,0.0,3.0,3.0,18.0
401480238,2309,Kent State Golden Flashes,KENT,4399326,Hannah Young,Guard,32,True,False,30.0,3-11,3.0,11.0,27.3,1-4,1.0,4.0,25.0,2-2,2.0,2.0,100.0,2.0,6.0,8.0,3.0,0.0,0.0,0.0,1.0,9.0
401480238,2309,Kent State Golden Flashes,KENT,4900064,Bridget Dunn,Forward,15,False,False,13.0,0-3,0.0,3.0,0.0,0-2,0.0,2.0,0.0,0-0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0
401480238,2309,Kent State Golden Flashes,KENT,4900063,Jenna Batsch,Guard,12,False,False,5.0,1-4,1.0,4.0,25.0,0-1,0.0,1.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
401480238,2309,Kent State Golden Flashes,KENT,5109059,Corynne Hauser,Guard,3,False,False,23.0,2-11,2.0,11.0,18.2,1-1,1.0,1.0,100.0,2-5,2.0,5.0,40.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,2.0,7.0
401480238,2309,Kent State Golden Flashes,KENT,4703578,Abby Ogle,Guard,22,False,False,10.0,0-1,0.0,1.0,0.0,0-0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
401480238,2309,Kent State Golden Flashes,KENT,5109060,Tatiana Thomas,Forward,1,False,True,,,,,,,,,,,,,,,,,,,,,,
401480238,2309,Kent State Golden Flashes,KENT,5109058,Dionna Gray,Guard,21,False,True,,,,,,,,,,,,,,,,,,,,,,
