game_id,play_id,sequence_number,period,period_display,clock,clock_seconds,team_id,team_name,play_type,play_type_id,text,score_home,score_away,scoring_play,score_value,shooting_play,coordinate_x,coordinate_y,wallclock,player_1_id,player_1_name,player_1_role,player_2_id,player_2_name,player_2_role
401480238,401480238101904601,101904601,1,1st Quarter,9:53,593,2309,,LayUpShot,572,Katie Shumate made Layup.,2,0,True,2,True,,,2022-11-11T00:29:21Z,4433684,,,,,
401480238,401480238101904602,101904602,1,1st Quarter,9:53,593,52,,PersonalFoul,519,Foul on Makayla Timpson.,2,0,False,0,False,,,2022-11-11T00:29:21Z,4433546,,,,,
401480238,401480238101904603,101904603,1,1st Quarter,9:53,593,2309,,MadeFreeThrow,540,Katie Shumate made Free Throw.,3,0,True,1,True,,,2022-11-11T00:29:21Z,4433684,,,,,
401480238,401480238101905701,101905701,1,1st Quarter,9:42,582,2309,,PersonalFoul,519,Foul on Clare Kelly.,3,0,False,0,False,,,2022-11-11T00:29:57Z,4595261,,,,,
401480238,401480238101905702,101905702,1,1st Quarter,9:42,582,52,,MadeFreeThrow,540,Ta'niya Latson made Free Throw.,3,1,True,1,True,,,2022-11-11T00:29:57Z,4609797,,,,,
401480238,401480238101905703,101905703,1,1st Quarter,9:42,582,52,,MadeFreeThrow,540,Ta'niya Latson missed Free Throw.,3,1,False,1,True,,,2022-11-11T00:29:57Z,4609797,,,,,
401480238,401480238101905901,101905901,1,1st Quarter,9:40,580,52,,Offensive Rebound,586,Makayla Timpson Offensive Rebound.,3,1,False,0,False,,,2022-11-11T00:30:37Z,4433546,,,,,
401480238,401480238101906001,101906001,1,1st Quarter,9:39,579,52,,LayUpShot,572,Makayla Timpson made Layup.,3,3,True,2,True,,,2022-11-11T00:30:37Z,4433546,,,,,
401480238,401480238101908101,101908101,1,1st Quarter,9:18,558,2309,,JumpShot,558,Clare Kelly missed Three Point Jumper.,3,3,False,3,True,,,2022-11-11T00:31:00Z,4595261,,,,,
401480238,401480238101908601,101908601,1,1st Quarter,9:13,553,2309,,Offensive Rebound,586,Clare Kelly Offensive Rebound.,3,3,False,0,False,,,2022-11-11T00:31:03Z,4595261,,,,,
401480238,401480238101909101,101909101,1,1st Quarter,9:08,548,2309,,JumpShot,558,Casey Santoro missed Three Point Jumper.,3,3,False,3,True,,,2022-11-11T00:31:10Z,4704895,,,,,
401480238,401480238101909601,101909601,1,1st Quarter,9:03,543,2309,,Offensive Rebound,586,Hannah Young Offensive Rebound.,3,3,False,0,False,,,2022-11-11T00:31:12Z,4399326,,,,,
401480238,401480238101909602,101909602,1,1st Quarter,9:03,543,2309,,LayUpShot,572,Hannah Young missed Layup.,3,3,False,2,True,,,2022-11-11T00:31:12Z,4399326,,,,,
401480238,401480238101914001,101914001,1,1st Quarter,8:59,539,52,,Defensive Rebound,587,Makayla Timpson Defensive Rebound.,3,3,False,0,False,,,2022-11-11T00:31:17Z,4433546,,,,,
401480238,401480238101915501,101915501,1,1st Quarter,8:44,524,52,,JumpShot,558,Sara Bejedi missed Three Point Jumper.,3,3,False,3,True,,,2022-11-11T00:31:32Z,4595844,,,,,
401480238,401480238101916001,101916001,1,1st Quarter,8:39,519,2309,,Defensive Rebound,587,Casey Santoro Defensive Rebound.,3,3,False,0,False,,,2022-11-11T00:31:37Z,4704895,,,,,
401480238,401480238101916002,101916002,1,1st Quarter,8:39,519,2309,,Lost Ball Turnover,598,Casey Santoro Turnover.,3,3,False,0,False,,,2022-11-11T00:31:37Z,4704895,,,,,
401480238,401480238101916003,101916003,1,1st Quarter,8:39,519,52,,Steal,607,Erin Howard Steal.,3,3,False,0,False,,,2022-11-11T00:31:37Z,4398609,,,,,
401480238,401480238101916601,101916601,1,1st Quarter,8:33,513,52,,LayUpShot,572,Ta'niya Latson made Layup.,3,5,True,2,True,,,2022-11-11T00:32:25Z,4609797,,,,,
401480238,401480238101918401,101918401,1,1st Quarter,8:15,495,2309,,JumpShot,558,Katie Shumate missed Three Point Jumper.,3,5,False,3,True,,,2022-11-11T00:32:42Z,4433684,,,,,
401480238,401480238101918801,101918801,1,1st Quarter,8:11,491,2309,,Offensive Rebound,586,Casey Santoro Offensive Rebound.,3,5,False,0,False,,,2022-11-11T00:32:45Z,4704895,,,,,
401480238,401480238101924501,101924501,1,1st Quarter,7:54,474,2309,,LayUpShot,572,Corynne Hauser made Layup.,5,5,True,2,True,,,2022-11-11T00:33:34Z,5109059,,,,,
401480238,401480238101924502,101924502,1,1st Quarter,7:54,474,52,,PersonalFoul,519,Foul on Makayla Timpson.,5,5,False,0,False,,,2022-11-11T00:33:34Z,4433546,,,,,
401480238,401480238101924503,101924503,1,1st Quarter,7:54,474,2309,,MadeFreeThrow,540,Corynne Hauser missed Free Throw.,5,5,False,1,True,,,2022-11-11T00:33:34Z,5109059,,,,,
401480238,401480238101924801,101924801,1,1st Quarter,7:51,471,52,,Defensive Rebound,587,Ta'niya Latson Defensive Rebound.,5,5,False,0,False,,,2022-11-11T00:34:05Z,4609797,,,,,
401480238,401480238101925401,101925401,1,1st Quarter,7:45,465,52,,Lost Ball Turnover,598,Taylor O'Brien Turnover.,5,5,False,0,False,,,2022-11-11T00:34:10Z,4400176,,,,,
401480238,401480238101926101,101926101,1,1st Quarter,7:38,458,52,,PersonalFoul,519,Foul on Sara Bejedi.,5,5,False,0,False,,,2022-11-11T00:34:27Z,4595844,,,,,
401480238,401480238101926601,101926601,1,1st Quarter,7:33,453,52,,PersonalFoul,519,Foul on Taylor O'Brien.,5,5,False,0,False,,,2022-11-11T00:34:50Z,4400176,,,,,
401480238,401480238101926602,101926602,1,1st Quarter,7:33,453,2309,,MadeFreeThrow,540,Corynne Hauser made Free Throw.,6,5,True,1,True,,,2022-11-11T00:35:28Z,5109059,,,,,
401480238,401480238101926603,101926603,1,1st Quarter,7:33,453,2309,,MadeFreeThrow,540,Corynne Hauser missed Free Throw.,6,5,False,1,True,,,2022-11-11T00:35:28Z,5109059,,,,,
401480238,401480238101926801,101926801,1,1st Quarter,7:31,451,52,,Defensive Rebound,587,Erin Howard Defensive Rebound.,6,5,False,0,False,,,2022-11-11T00:35:44Z,4398609,,,,,
401480238,401480238101927301,101927301,1,1st Quarter,7:26,446,52,,JumpShot,558,Erin Howard missed Three Point Jumper.,6,5,False,3,True,,,2022-11-11T00:35:50Z,4398609,,,,,
401480238,401480238101927701,101927701,1,1st Quarter,7:22,442,52,,Offensive Rebound,586,Valencia Myers Offensive Rebound.,6,5,False,0,False,,,2022-11-11T00:35:53Z,4398583,,,,,
401480238,401480238101928101,101928101,1,1st Quarter,7:18,438,52,,JumpShot,558,Ta'niya Latson made Three Point Jumper.,6,8,True,3,True,,,2022-11-11T00:35:58Z,4609797,,,,,
401480238,401480238101934201,101934201,1,1st Quarter,6:57,417,2309,,LayUpShot,572,Lindsey Thall made Layup. Assisted by Corynne Hauser.,8,8,True,2,True,,,2022-11-11T00:36:17Z,4399327,,,5109059,,
401480238,401480238101934901,101934901,1,1st Quarter,6:50,410,52,,PersonalFoul,519,Foul on Sara Bejedi.,8,8,False,0,False,,,2022-11-11T00:36:24Z,4595844,,,,,
401480238,401480238101934902,101934902,1,1st Quarter,6:50,410,52,,Lost Ball Turnover,598,Sara Bejedi Turnover.,8,8,False,0,False,,,2022-11-11T00:36:24Z,4595844,,,,,
401480238,401480238101936001,101936001,1,1st Quarter,6:39,399,2309,,LayUpShot,572,Bridget Dunn missed Layup.,8,8,False,2,True,,,2022-11-11T00:36:51Z,4900064,,,,,
401480238,401480238101936401,101936401,1,1st Quarter,6:35,395,52,,Defensive Rebound,587,Ta'niya Latson Defensive Rebound.,8,8,False,0,False,,,2022-11-11T00:36:54Z,4609797,,,,,
401480238,401480238101937201,101937201,1,1st Quarter,6:27,387,52,,JumpShot,558,Sara Bejedi missed Three Point Jumper.,8,8,False,3,True,,,2022-11-11T00:37:22Z,4595844,,,,,
401480238,401480238101937601,101937601,1,1st Quarter,6:23,383,2309,,Defensive Rebound,587,Lindsey Thall Defensive Rebound.,8,8,False,0,False,,,2022-11-11T00:37:25Z,4399327,,,,,
401480238,401480238101939901,101939901,1,1st Quarter,6:00,360,2309,,JumpShot,558,Lindsey Thall missed Three Point Jumper.,8,8,False,3,True,,,2022-11-11T00:37:49Z,4399327,,,,,
401480238,401480238101944401,101944401,1,1st Quarter,5:55,355,52,,Defensive Rebound,587,Erin Howard Defensive Rebound.,8,8,False,0,False,,,2022-11-11T00:37:53Z,4398609,,,,,
401480238,401480238101944402,101944402,1,1st Quarter,5:55,355,52,,Lost Ball Turnover,598,Erin Howard Turnover.,8,8,False,0,False,,,2022-11-11T00:37:53Z,4398609,,,,,
401480238,401480238101944403,101944403,1,1st Quarter,5:55,355,2309,,Steal,607,Bridget Dunn Steal.,8,8,False,0,False,,,2022-11-11T00:37:53Z,4900064,,,,,
401480238,401480238101946001,101946001,1,1st Quarter,5:39,339,2309,,LayUpShot,572,Lindsey Thall missed Layup.,8,8,False,2,True,,,2022-11-11T00:38:50Z,4399327,,,,,
401480238,401480238101946401,101946401,1,1st Quarter,5:35,335,52,,Defensive Rebound,587,Brianna Turnage Defensive Rebound.,8,8,False,0,False,,,2022-11-11T00:38:53Z,5106230,,,,,
401480238,401480238101946801,101946801,1,1st Quarter,5:31,331,52,,JumpShot,558,Brianna Turnage missed Three Point Jumper.,8,8,False,3,True,,,2022-11-11T00:38:59Z,5106230,,,,,
401480238,401480238101947202,101947202,1,1st Quarter,5:27,327,2309,,Defensive Rebound,587,Hannah Young Defensive Rebound.,8,8,False,0,False,,,2022-11-11T00:42:43Z,4399326,,,,,
401480238,401480238101948101,101948101,1,1st Quarter,5:18,318,2309,,JumpShot,558,Hannah Young made Three Point Jumper. Assisted by Bridget Dunn.,11,8,True,3,True,,,2022-11-11T00:39:11Z,4399326,,,4900064,,
401480238,401480238101954201,101954201,1,1st Quarter,4:57,297,52,,JumpShot,558,Taylor O'Brien missed Three Point Jumper.,11,8,False,3,True,,,2022-11-11T00:39:33Z,4400176,,,,,
401480238,401480238101954601,101954601,1,1st Quarter,4:53,293,2309,,Defensive Rebound,587,Lindsey Thall Defensive Rebound.,11,8,False,0,False,,,2022-11-11T00:39:35Z,4399327,,,,,
401480238,401480238101955801,101955801,1,1st Quarter,4:41,281,52,,PersonalFoul,519,Foul on Erin Howard.,11,8,False,0,False,,,2022-11-11T00:39:48Z,4398609,,,,,
401480238,401480238101955802,101955802,1,1st Quarter,4:41,281,2309,,MadeFreeThrow,540,Corynne Hauser missed Free Throw.,11,8,False,1,True,,,2022-11-11T00:42:43Z,5109059,,,,,
401480238,401480238101955803,101955803,1,1st Quarter,4:41,281,2309,,Dead Ball Rebound,449,Kent State Deadball Team Rebound.,11,8,False,0,False,,,2022-11-11T00:42:43Z,,,,,,
401480238,401480238101955804,101955804,1,1st Quarter,4:41,281,2309,,MadeFreeThrow,540,Corynne Hauser made Free Throw.,12,8,True,1,True,,,2022-11-11T00:42:43Z,5109059,,,,,
401480238,401480238101957601,101957601,1,1st Quarter,4:23,263,52,,LayUpShot,572,Ta'niya Latson missed Layup.,12,8,False,2,True,,,2022-11-11T00:43:58Z,4609797,,,,,
401480238,401480238101957801,101957801,1,1st Quarter,4:21,261,52,,Offensive Rebound,586,Valencia Myers Offensive Rebound.,12,8,False,0,False,,,2022-11-11T00:43:58Z,4398583,,,,,
401480238,401480238101957802,101957802,1,1st Quarter,4:21,261,52,,PersonalFoul,519,Foul on Valencia Myers.,12,8,False,0,False,,,2022-11-11T00:43:58Z,4398583,,,,,
401480238,401480238101957803,101957803,1,1st Quarter,4:21,261,52,,Lost Ball Turnover,598,Valencia Myers Turnover.,12,8,False,0,False,,,2022-11-11T00:43:58Z,4398583,,,,,
401480238,401480238101959801,101959801,1,1st Quarter,4:01,241,2309,,Lost Ball Turnover,598,Corynne Hauser Turnover.,12,8,False,0,False,,,2022-11-11T00:44:33Z,5109059,,,,,
401480238,401480238101965501,101965501,1,1st Quarter,3:44,224,52,,JumpShot,558,Mariana Valenzuela made Three Point Jumper. Assisted by Taylor O'Brien.,12,11,True,3,True,,,2022-11-11T00:45:06Z,4683035,,,4400176,,
401480238,401480238101969001,101969001,1,1st Quarter,3:09,189,2309,,Lost Ball Turnover,598,Kent State  Turnover.,12,11,False,0,False,,,2022-11-11T00:45:34Z,,,,,,
401480238,401480238101974001,101974001,1,1st Quarter,2:59,179,52,,LayUpShot,572,Ta'niya Latson made Layup.,12,13,True,2,True,,,2022-11-11T00:46:02Z,4609797,,,,,
401480238,401480238101975201,101975201,1,1st Quarter,2:47,167,2309,,JumpShot,558,Katie Shumate made Jumper.,14,13,True,2,True,,,2022-11-11T00:46:17Z,4433684,,,,,
401480238,401480238101977201,101977201,1,1st Quarter,2:27,147,52,,JumpShot,558,Ta'niya Latson missed Three Point Jumper.,14,13,False,3,True,,,2022-11-11T00:46:36Z,4609797,,,,,
401480238,401480238101977601,101977601,1,1st Quarter,2:23,143,2309,,Defensive Rebound,587,Lindsey Thall Defensive Rebound.,14,13,False,0,False,,,2022-11-11T00:46:40Z,4399327,,,,,
401480238,401480238101979601,101979601,1,1st Quarter,2:03,123,2309,,LayUpShot,572,Lindsey Thall made Layup.,16,13,True,2,True,,,2022-11-11T00:46:56Z,4399327,,,,,
401480238,401480238101984301,101984301,1,1st Quarter,1:56,116,52,,JumpShot,558,Brianna Turnage missed Three Point Jumper.,16,13,False,3,True,,,2022-11-11T00:47:04Z,5106230,,,,,
401480238,401480238101984701,101984701,1,1st Quarter,1:52,112,2309,,Defensive Rebound,587,Lindsey Thall Defensive Rebound.,16,13,False,0,False,,,2022-11-11T00:47:07Z,4399327,,,,,
401480238,401480238101985201,101985201,1,1st Quarter,1:47,107,2309,,Lost Ball Turnover,598,Casey Santoro Turnover.,16,13,False,0,False,,,2022-11-11T00:47:11Z,4704895,,,,,
401480238,401480238101986301,101986301,1,1st Quarter,1:36,96,52,,LayUpShot,572,Ta'niya Latson missed Layup.,16,13,False,2,True,,,2022-11-11T00:47:39Z,4609797,,,,,
401480238,401480238101986801,101986801,1,1st Quarter,1:31,91,52,,Offensive Rebound,586,Mariana Valenzuela Offensive Rebound.,16,13,False,0,False,,,2022-11-11T00:47:39Z,4683035,,,,,
401480238,401480238101986901,101986901,1,1st Quarter,1:30,90,52,,LayUpShot,572,Mariana Valenzuela made Layup.,16,15,True,2,True,,,2022-11-11T00:47:39Z,4683035,,,,,
401480238,401480238101987701,101987701,1,1st Quarter,1:22,82,2309,,LayUpShot,572,Katie Shumate made Layup.,18,15,True,2,True,,,2022-11-11T00:47:47Z,4433684,,,,,
401480238,401480238101989301,101989301,1,1st Quarter,1:06,66,52,,JumpShot,558,Erin Howard missed Three Point Jumper.,18,15,False,3,True,,,2022-11-11T00:48:03Z,4398609,,,,,
401480238,401480238101989801,101989801,1,1st Quarter,1:01,61,2309,,Defensive Rebound,587,Corynne Hauser Defensive Rebound.,18,15,False,0,False,,,2022-11-11T00:48:07Z,5109059,,,,,
401480238,401480238101994301,101994301,1,1st Quarter,0:56,56,2309,,Lost Ball Turnover,598,Casey Santoro Turnover.,18,15,False,0,False,,,2022-11-11T00:48:12Z,4704895,,,,,
401480238,401480238101994302,101994302,1,1st Quarter,0:56,56,52,,Steal,607,Erin Howard Steal.,18,15,False,0,False,,,2022-11-11T00:48:12Z,4398609,,,,,
401480238,401480238101994801,101994801,1,1st Quarter,0:51,51,52,,LayUpShot,572,Taylor O'Brien made Layup.,18,17,True,2,True,,,2022-11-11T00:48:20Z,4400176,,,,,
401480238,401480238101996701,101996701,1,1st Quarter,0:32,32,2309,,LayUpShot,572,Corynne Hauser missed Layup.,18,17,False,2,True,,,2022-11-11T00:48:37Z,5109059,,,,,
401480238,401480238101997001,101997001,1,1st Quarter,0:29,29,52,,Defensive Rebound,587,Mariana Valenzuela Defensive Rebound.,18,17,False,0,False,,,2022-11-11T00:48:40Z,4683035,,,,,
401480238,401480238101999601,101999601,1,1st Quarter,0:03,3,52,,JumpShot,558,Ta'niya Latson missed Jumper.,18,17,False,2,True,,,2022-11-11T00:49:07Z,4609797,,,,,
401480238,401480238101999902,101999902,1,1st Quarter,0:00,0,52,,Offensive Rebound,586,Erin Howard Offensive Rebound.,18,17,False,0,False,,,2022-11-11T00:49:07Z,4398609,,,,,
401480238,401480238101999901,101999901,1,1st Quarter,0:00,0,,,End Period,412,End of 1st Quarter,18,17,False,0,False,,,2022-11-11T00:49:07Z,,,,,,
401480238,401480238102905801,102905801,2,2nd Quarter,9:41,581,52,,JumpShot,558,Mariana Valenzuela missed Three Point Jumper.,18,17,False,3,True,,,2022-11-11T00:53:17Z,4683035,,,,,
401480238,401480238102906201,102906201,2,2nd Quarter,9:37,577,2309,,Defensive Rebound,587,Katie Shumate Defensive Rebound.,18,17,False,0,False,,,2022-11-11T00:53:17Z,4433684,,,,,
401480238,401480238102906701,102906701,2,2nd Quarter,9:32,572,2309,,JumpShot,558,Abby Ogle missed Jumper.,18,17,False,2,True,,,2022-11-11T00:53:23Z,4703578,,,,,
401480238,401480238102906702,102906702,2,2nd Quarter,9:32,572,52,,Block Shot,618,Brianna Turnage Block.,18,17,False,0,False,,,2022-11-11T00:53:23Z,5106230,,,,,
401480238,401480238102907301,102907301,2,2nd Quarter,9:26,566,52,,Defensive Rebound,587,Mariana Valenzuela Defensive Rebound.,18,17,False,0,False,,,2022-11-11T01:00:51Z,4683035,,,,,
401480238,401480238102907501,102907501,2,2nd Quarter,9:24,564,52,,JumpShot,558,Ta'niya Latson missed Jumper.,18,17,False,2,True,,,2022-11-11T00:53:32Z,4609797,,,,,
401480238,401480238102907601,102907601,2,2nd Quarter,9:23,563,52,,Offensive Rebound,586,Erin Howard Offensive Rebound.,18,17,False,0,False,,,2022-11-11T00:53:32Z,4398609,,,,,
401480238,401480238102907602,102907602,2,2nd Quarter,9:23,563,2309,,PersonalFoul,519,Foul on Corynne Hauser.,18,17,False,0,False,,,2022-11-11T00:53:32Z,5109059,,,,,
401480238,401480238102907901,102907901,2,2nd Quarter,9:20,560,52,,JumpShot,558,Erin Howard missed Three Point Jumper.,18,17,False,3,True,,,2022-11-11T00:53:54Z,4398609,,,,,
401480238,401480238102908301,102908301,2,2nd Quarter,9:16,556,2309,,Defensive Rebound,587,Bridget Dunn Defensive Rebound.,18,17,False,0,False,,,2022-11-11T00:53:54Z,4900064,,,,,
401480238,401480238102909201,102909201,2,2nd Quarter,9:07,547,2309,,LayUpShot,572,Katie Shumate missed Layup.,18,17,False,2,True,,,2022-11-11T00:54:08Z,4433684,,,,,
401480238,401480238102909601,102909601,2,2nd Quarter,9:03,543,2309,,Offensive Rebound,586,Katie Shumate Offensive Rebound.,18,17,False,0,False,,,2022-11-11T01:00:51Z,4433684,,,,,
401480238,401480238102909801,102909801,2,2nd Quarter,9:01,541,2309,,LayUpShot,572,Corynne Hauser missed Layup.,18,17,False,2,True,,,2022-11-11T00:54:17Z,5109059,,,,,
401480238,401480238102914301,102914301,2,2nd Quarter,8:56,536,52,,Defensive Rebound,587,Mariana Valenzuela Defensive Rebound.,18,17,False,0,False,,,2022-11-11T00:54:17Z,4683035,,,,,
401480238,401480238102914901,102914901,2,2nd Quarter,8:50,530,52,,LayUpShot,572,Erin Howard made Layup. Assisted by Brianna Turnage.,18,19,True,2,True,,,2022-11-11T00:54:25Z,4398609,,,5106230,,
401480238,401480238102917001,102917001,2,2nd Quarter,8:29,509,2309,,JumpShot,558,Katie Shumate missed Jumper.,18,19,False,2,True,,,2022-11-11T00:54:45Z,4433684,,,,,
401480238,401480238102917101,102917101,2,2nd Quarter,8:28,508,52,,Defensive Rebound,587,Taylor O'Brien Defensive Rebound.,18,19,False,0,False,,,2022-11-11T00:54:45Z,4400176,,,,,
401480238,401480238102917102,102917102,2,2nd Quarter,8:28,508,2309,,PersonalFoul,519,Foul on Bridget Dunn.,18,19,False,0,False,,,2022-11-11T00:54:45Z,4900064,,,,,
401480238,401480238102918701,102918701,2,2nd Quarter,8:12,492,2309,,PersonalFoul,519,Foul on Katie Shumate.,18,19,False,0,False,,,2022-11-11T00:55:29Z,4433684,,,,,
401480238,401480238102919301,102919301,2,2nd Quarter,8:06,486,52,,JumpShot,558,Ta'niya Latson missed Three Point Jumper.,18,19,False,3,True,,,2022-11-11T00:56:00Z,4609797,,,,,
401480238,401480238102919701,102919701,2,2nd Quarter,8:02,482,52,,Offensive Rebound,586,Erin Howard Offensive Rebound.,18,19,False,0,False,,,2022-11-11T00:56:04Z,4398609,,,,,
401480238,401480238102919901,102919901,2,2nd Quarter,8:00,480,52,,LayUpShot,572,Brianna Turnage missed Layup.,18,19,False,2,True,,,2022-11-11T00:56:06Z,5106230,,,,,
401480238,401480238102924301,102924301,2,2nd Quarter,7:56,476,2309,,Defensive Rebound,587,Katie Shumate Defensive Rebound.,18,19,False,0,False,,,2022-11-11T00:56:10Z,4433684,,,,,
401480238,401480238102924302,102924302,2,2nd Quarter,7:56,476,2309,,Lost Ball Turnover,598,Katie Shumate Turnover.,18,19,False,0,False,,,2022-11-11T00:56:10Z,4433684,,,,,
401480238,401480238102924303,102924303,2,2nd Quarter,7:56,476,52,,Steal,607,Ta'niya Latson Steal.,18,19,False,0,False,,,2022-11-11T00:56:10Z,4609797,,,,,
401480238,401480238102924801,102924801,2,2nd Quarter,7:51,471,52,,LayUpShot,572,Ta'niya Latson made Layup.,18,21,True,2,True,,,2022-11-11T00:56:17Z,4609797,,,,,
401480238,401480238102925901,102925901,2,2nd Quarter,7:40,460,2309,,LayUpShot,572,Casey Santoro made Layup.,20,21,True,2,True,,,2022-11-11T00:56:24Z,4704895,,,,,
401480238,401480238102925902,102925902,2,2nd Quarter,7:40,460,52,,PersonalFoul,519,Foul on Taylor O'Brien.,20,21,False,0,False,,,2022-11-11T00:56:24Z,4400176,,,,,
401480238,401480238102925903,102925903,2,2nd Quarter,7:40,460,2309,,MadeFreeThrow,540,Casey Santoro made Free Throw.,21,21,True,1,True,,,2022-11-11T00:56:33Z,4704895,,,,,
401480238,401480238102927001,102927001,2,2nd Quarter,7:29,449,52,,JumpShot,558,Sara Bejedi missed Three Point Jumper.,21,21,False,3,True,,,2022-11-11T00:57:11Z,4595844,,,,,
401480238,401480238102927101,102927101,2,2nd Quarter,7:28,448,2309,,Dead Ball Rebound,449,Kent State Deadball Team Rebound.,21,21,False,0,False,,,2022-11-11T00:57:11Z,,,,,,
401480238,401480238102927102,102927102,2,2nd Quarter,7:28,448,52,,PersonalFoul,519,Foul on Valencia Myers.,21,21,False,0,False,,,2022-11-11T00:57:11Z,4398583,,,,,
401480238,401480238102928601,102928601,2,2nd Quarter,7:13,433,2309,,Lost Ball Turnover,598,Clare Kelly Turnover.,21,21,False,0,False,,,2022-11-11T00:58:05Z,4595261,,,,,
401480238,401480238102928602,102928602,2,2nd Quarter,7:13,433,52,,Steal,607,Ta'niya Latson Steal.,21,21,False,0,False,,,2022-11-11T00:58:05Z,4609797,,,,,
401480238,401480238102929001,102929001,2,2nd Quarter,7:09,429,52,,LayUpShot,572,Ta'niya Latson made Layup.,21,23,True,2,True,,,2022-11-11T00:58:10Z,4609797,,,,,
401480238,401480238102934201,102934201,2,2nd Quarter,6:57,417,2309,,JumpShot,558,Lindsey Thall made Three Point Jumper. Assisted by Casey Santoro.,24,23,True,3,True,,,2022-11-11T00:58:36Z,4399327,,,4704895,,
401480238,401480238102935601,102935601,2,2nd Quarter,6:43,403,52,,JumpShot,558,Erin Howard missed Three Point Jumper.,24,23,False,3,True,,,2022-11-11T00:58:36Z,4398609,,,,,
