game_id,team_id,team_name,team_abbreviation,home_away,PTS,FG,FG_MADE,FG_ATT,FG_PCT,3PT,3PT_MADE,3PT_ATT,3PT_PCT,FT,FT_MADE,FT_ATT,FT_PCT,REB,AST,STL,BLK,TO,TTO,ToTO,TECH,PTS OFF TO,FBPs,PIP,PF,LL,OREB,DREB
401488867,228,Clemson Tigers,CLEM,away,62,24-76,24,76,31.6,8-25,8,25,32.0,6-9,6,9,66.7,45,15,5,5,15,0,15,0,8,6,28,18,2,21,24
401488867,52,Florida State Seminoles,FSU,home,93,30-70,30,70,42.9,10-28,10,28,35.7,23-25,23,25,92.0,45,20,7,6,9,0,9,0,22,22,34,12,31,14,31
