game_id,team_id,team_name,team_abbreviation,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPct,FG%,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,threePointFieldGoalPct,3P%,freeThrowsMade-freeThrowsAttempted,freeThrowsMade,freeThrowsAttempted,freeThrowPct,FT%,totalRebounds,REB,offensiveRebounds,OR,defensiveRebounds,DR,assists,AST,steals,STL,blocks,BLK,turnovers,TO,teamTurnovers,TTO,totalTurnovers,ToTO,technicalFouls,TECH,totalTechnicalFouls,turnoverPoints,PTS OFF TO,fastBreakPoints,FBPs,pointsInPaint,PIP,fouls,PF,largestLead,LL
401488960,59,Georgia Tech Yellow Jackets,GT,away,25-59,25,59,42.4,42.4,3-12,3,12,25.0,25.0,13-16,13,16,81.3,81.3,37,37,6,6,31,31,15,15,2,2,4,4,14,14,0,0,14,14,2,2,2,2,2,3,3,24,24,19,19,5,5
401488960,52,Florida State Seminoles,FSU,home,28-61,28,61,45.9,45.9,8-15,8,15,53.3,53.3,16-27,16,27,59.3,59.3,37,37,7,7,30,30,12,12,9,9,2,2,7,7,0,0,7,7,0,0,0,18,18,9,9,32,32,16,16,14,14
