game_id,team_id,team_name,team_abbreviation,team_location,team_nickname,team_color,home_away,score,winner
401480243,52,Florida State Seminoles,FSU,Florida State,Seminoles,782f40,home,88,True
401480243,108,Harvard Crimson,HARV,Harvard,Crimson,990000,away,57,False
