game_id,team_id,team_name,team_abbreviation,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPct,FG%,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,threePointFieldGoalPct,3P%,freeThrowsMade-freeThrowsAttempted,freeThrowsMade,freeThrowsAttempted,freeThrowPct,FT%,totalRebounds,REB,offensiveRebounds,OR,defensiveRebounds,DR,assists,AST,steals,STL,blocks,BLK,turnovers,TO,teamTurnovers,TTO,totalTurnovers,ToTO,technicalFouls,TECH,totalTechnicalFouls,turnoverPoints,PTS OFF TO,fastBreakPoints,FBPs,pointsInPaint,PIP,fouls,PF,largestLead,LL
401488889,97,Louisville Cardinals,LOU,away,32-59,32,59,54.2,54.2,4-11,4,11,36.4,36.4,14-19,14,19,73.7,73.7,42,42,10,10,32,32,19,19,6,6,6,6,18,18,0,0,18,18,0,0,0,7,7,8,8,30,30,20,20,7,7
401488889,52,Florida State Seminoles,FSU,home,25-66,25,66,37.9,37.9,7-20,7,20,35.0,35.0,18-20,18,20,90.0,90.0,28,28,11,11,17,17,14,14,4,4,1,1,11,11,0,0,11,11,0,0,0,22,22,16,16,28,28,19,19,9,9
