game_id,team_id,team_name,team_abbreviation,home_away,PTS,FG,FG_MADE,FG_ATT,FG_PCT,3PT,3PT_MADE,3PT_ATT,3PT_PCT,FT,FT_MADE,FT_ATT,FT_PCT,REB,AST,STL,BLK,TO,TTO,ToTO,TECH,PTS OFF TO,FBPs,PIP,PF,LL,OREB,DREB
401488881,152,NC State Wolfpack,NCSU,away,72,29-77,29,77,37.7,8-29,8,29,27.6,6-8,6,8,75.0,31,17,7,4,4,0,4,0,16,12,30,14,3,10,21
401488881,52,Florida State Seminoles,FSU,home,91,35-63,35,63,55.6,7-18,7,18,38.9,14-17,14,17,82.4,45,16,1,4,13,0,13,0,2,9,42,13,27,7,38
