game_id,team_id,team_name,team_abbreviation,home_away,PTS,FG,FG_MADE,FG_ATT,FG_PCT,3PT,3PT_MADE,3PT_ATT,3PT_PCT,FT,FT_MADE,FT_ATT,FT_PCT,REB,AST,STL,BLK,TO,TTO,ToTO,TECH,PTS OFF TO,FBPs,PIP,PF,LL,OREB,DREB
401488924,154,Wake Forest Demon Deacons,WAKE,away,44,16-61,16,61,26.2,6-27,6,27,22.2,6-10,6,10,60.0,32,11,8,7,14,0,14,0,15,3,18,15,4,6,26
401488924,52,Florida State Seminoles,FSU,home,72,26-59,26,59,44.1,5-12,5,12,41.7,15-18,15,18,83.3,51,16,8,4,17,0,17,0,17,4,38,12,29,10,41
