game_id,team_id,team_name,team_abbreviation,home_away,PTS,FG,FG_MADE,FG_ATT,FG_PCT,3PT,3PT_MADE,3PT_ATT,3PT_PCT,FT,FT_MADE,FT_ATT,FT_PCT,REB,AST,STL,BLK,TO,TTO,ToTO,TECH,PTS OFF TO,FBPs,PIP,PF,LL,OREB,DREB
401488918,150,Duke Blue Devils,DUKE,away,57,19-72,19,72,26.4,4-13,4,13,30.8,15-22,15,22,68.2,46,11,8,11,18,0,18,0,23,5,24,23,1,19,27
401488918,52,Florida State Seminoles,FSU,home,70,24-61,24,61,39.3,2-8,2,8,25.0,20-32,20,32,62.5,48,9,9,2,17,0,17,0,18,9,34,22,24,14,34
